,Genes (Node 1),1-hop directly regulating (degree centrality),1-hop directly regulating genes,2-hop directly regulating,2-hop directly regulating.1,Regulating Mutually Exclusively (ones array),ME,category,ME oncogene,ME TS,1-hop Causal,2-hop Causal,2-hop Cascade,Protein,Classification,Function (discrete),Gene Expression,TF (type) (TRRUST),Mutation Count (TCGA),Moderate mutations,Low Mutations,High Mutations,Modifier Mutations,TF (regulating same gene) - two hop,TF (regulating same gene) - one hop,Mutually Exclusively regulating gene (regulating gene) - oncogene,Mutually Exclusively regulating gene (regulating gene) - tumorsuppressor,Combination gene reguation (regulated by this # genes),Causal Effect (DEGs)
75,ETV4,1,ERBB2,79,79,31,0,oncogene,0,0,0,,0,ETV4,Oncogene,"Transcriptional misregulation, Proliferation of cells",None Found,Repression,None Found,None Found,None Found,None Found,None Found,,,,,1,
76,ELF1,1,ERBB2,79,79,31,0,TF,0,0,0,,0,ELF1,TF,"Transcription regulation, Proliferation of cells",None Found,Unknown,8,4,1,1,2,,,,,1,
77,ECD,1,ERBB2,79,79,31,0,TF,0,0,0,,0,ECD,TF,Transcription regulation,None Found,Activation,5,3,1,1,0,,,,,1,
78,ATF7,1,ERBB2,79,79,31,0,TF,0,0,0,,0,ATF7,TF,"Transcription regulation, Apoptosis",None Found,Unknown,1,1,0,0,0,,,,,1,
79,ATF1,1,ERBB2,79,79,31,0,oncogene,0,0,0,,0,ATF1,Oncogene,Transcriptional misregulation,None Found,Unknown,2,2,0,0,0,,,,,1,
80,KLF4,2,"BIRC5,KRT19",128,"74,54","26,6",0,"oncogene, tumorsupressor",0,0,1,0.6216216216216216,1,KLF4,"Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,4,2,0,0,2,,,,,2,
81,ZEB1,2,"MUC1,ESR1",131,"59,72","10,89",0,cigene,0,0,0,,0,ZEB1,Cigene,"Apoptosis, Proliferation of cells",None Found,Repression,10,8,1,0,1,,,,,1,
82,PIAS4,1,MUC1,59,59,10,0,TF,0,0,0,,0,PIAS4,TF,Cell Signaling,None Found,Repression,4,3,1,0,0,,,,,1,
83,PIAS2,1,MUC1,59,59,10,0,TF,0,0,0,,0,PIAS2,TF,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,6,5,0,0,1,,,,,1,
84,PIAS1,1,MUC1,59,59,10,0,tumorsupressor,0,0,0,,0,PIAS1,Tumorsupressor,Cell Signaling,None Found,Repression,3,3,0,0,0,,,,,1,
85,USF1,2,"SERPINE1,ID4",123,"71,52","24,6",0,TF,0,0,0,,0,USF1,TF,Transcription regulation,None Found,Activation,7,2,1,1,3,,,,,1,
86,TGIF1,1,SERPINE1,71,71,24,0,TF,0,0,0,,0,TGIF1,TF,"Cell Signaling, Proliferation of cells",None Found,Repression,3,1,0,0,2,,,,,1,
87,PPARA,2,"MMP9,SERPINE1",152,"81,71","32,24",0,tumorsupressor,0,0,0,,0,PPARA,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,4,3,0,1,0,,,,,2,
88,PARP1,2,"SERPINE1,JUN",77,"71,6","24,33",0,TF,0,0,0,,0,PARP1,TF,"Apoptosis, Proliferation of cells",None Found,Activation,12,7,2,2,1,,,,,1,
89,NR4A1,1,SERPINE1,71,71,24,0,tumorsupressor,0,0,0,,0,NR4A1,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,4,2,2,0,0,,,,,1,
90,KLF10,1,SERPINE1,71,71,24,0,tumorsupressor,0,0,0,,0,KLF10,Tumorsupressor,"Transcription regulation, Apoptosis, Proliferation of cells",None Found,Activation,4,1,1,0,2,,,,,1,
91,HSF1,2,"SERPINE1,JUN",77,"71,6","24,33",0,TF,0,0,0,,0,HSF1,TF,None Found,None Found,Activation,3,3,0,0,0,,,,,1,
92,EPAS1,1,SERPINE1,71,71,24,0,tumorsupressor,0,0,0,,0,EPAS1,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,Activation,11,5,2,1,3,,,,,1,
93,NKX2-3,1,EGR1,66,66,106,0,TF,0,0,1,0.13636363636363635,1,NKX2-3,TF,"Transcription regulation, Proliferation of cells",None Found,Unknown,None Found,None Found,None Found,None Found,None Found,,,,,1,
94,MAML1,1,EGR1,66,66,106,0,TF,0,0,1,0.13636363636363635,1,MAML1,TF,"Cell Signaling, Proliferation of cells",None Found,Activation,5,2,3,0,0,,,,,1,
95,KLF5,4,"BIRC5,MMP9,SERPINE1,EGR1",292,"74,81,71,66","26,32,24,106",0,"oncogene, tumorsupressor",0,0,2,0.378992628992629,2,KLF5,"Tumorsupressor, Oncogene","Transcription regulation, Apoptosis, Proliferation of cells",None Found,Activation,2,1,0,0,1,,,,,4,
96,FOXO1,1,EGR1,66,66,106,0,"oncogene, tumorsupressor",0,0,1,0.13636363636363635,1,FOXO1,"Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,2,2,0,0,0,,,,,1,
97,ATF5,1,EGR1,66,66,106,0,TF,0,0,1,0.13636363636363635,1,ATF5,TF,"Transcription regulation, Apoptosis, Proliferation of cells",None Found,Unknown,2,2,0,0,0,,,,,1,
98,WNT4,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,WNT4,None Found,"Cell Signaling, Proliferation of cells",-3.682056459,None Found,4,3,0,0,1,,,,,0,
99,UBE2S,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,UBE2S,None Found,Apoptosis,2.456823213,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
100,TP73,2,"BIRC5,EGR1",140,"74,66","26,106",0,"oncogene, tumorsupressor",0,0,2,0.378992628992629,2,TP73,"Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,2,2,0,0,0,,,,,1,
101,TOE1,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,TOE1,None Found,None Found,None Found,None Found,2,0,1,0,1,,,,,0,
102,TNFSF10,1,EGR1,66,66,106,0,,0,0,1,0.13636363636363635,1,TNFSF10,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,2,0,2,0,0,,,,,0,
