Protein,Classification,Function (discrete),Gene Expression,TF (type) (TRRUST),Mutation Count (TCGA),Moderate mutations,Low Mutations,High Mutations,Modifier Mutations,TF (regulating same gene) - two hop,TF (regulating same gene) - one hop,Mutually Exclusively regulating gene (regulating gene) - oncogene,Mutually Exclusively regulating gene (regulating gene) - tumorsuppressor,Combination gene reguation (regulated by this # genes),Causal Effect (DEGs)
CXCL1,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,1,0,0,1,0,,,,,1,
COL18A1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,12,6,3,1,2,,,,,1,
EDN1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,4,3,1,0,0,,,,,1,
PTX3,None Found,Proliferation of cells,None Found,None Found,3,2,0,0,1,,,,,1,
NID1,None Found,None Found,None Found,None Found,15,11,3,1,0,,,,,1,
HP,None Found,organismal death,None Found,None Found,1,0,1,0,0,,,,,2,
HBEGF,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,5,1,3,0,1,,,,,2,
B2M,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,3,3,0,0,0,,,,,1,
TIMP1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,2,
LYZ,None Found,Proliferation of cells,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
PRSS3P2,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
CAMP,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,1,0,0,0,1,,,,,1,
THBS1,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,None Found,6,3,2,1,0,,,,,2,
PPBP,None Found,Proliferation of cells,None Found,None Found,1,1,0,0,0,,,,,2,
MMP8,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,4,3,1,0,0,,,,,1,
LTF,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,5,3,2,0,0,,,,,1,
SDC1,None Found,"Apoptosis, Proliferation of cells",-0.4185367555,None Found,2,0,1,1,0,,,,,1,
A2M,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,8,4,3,1,0,,,,,2,
ITGAM,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,10,4,5,1,0,,,,,1,
CTSG,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,3,1,1,0,1,,,,,1,
BLCAP,Tumorsupressor,None Found,None Found,None Found,2,0,1,0,1,,,,,1,
C10orf142,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
GPR17,None Found,None Found,None Found,None Found,3,2,1,0,0,,,,,1,
GRHL3,None Found,Proliferation of cells,None Found,None Found,8,6,1,0,1,,,,,1,
ABCC3,None Found,Proliferation of cells,None Found,None Found,8,4,1,0,3,,,,,1,
GFAP,None Found,Proliferation of cells,-6.105363773,None Found,7,3,2,0,2,,,,,1,
ESM1,None Found,Proliferation of cells,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
SRI,None Found,Apoptosis,None Found,None Found,3,0,0,0,3,,,,,1,
TRIM21,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,6,4,1,0,1,,,,,1,
POU3F1,None Found,Apoptosis,None Found,None Found,3,1,0,0,2,,,,,1,
NKX2-2,None Found,None Found,None Found,None Found,2,1,1,0,0,,,,,1,
