Protein,Classification,Function (discrete),Gene Expression,TF (type) (TRRUST),Mutation Count (TCGA),Moderate mutations,Low Mutations,High Mutations,Modifier Mutations,TF (regulating same gene) - two hop,TF (regulating same gene) - one hop,Mutually Exclusively regulating gene (regulating gene) - oncogene,Mutually Exclusively regulating gene (regulating gene) - tumorsuppressor,Combination gene reguation (regulated by this # genes),Causal Effect (DEGs)
TNFSF10,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,2,0,2,0,0,,,,,0,
TMPO,None Found,"Cell Signaling, Proliferation of cells",None Found,None Found,4,4,0,0,0,,,,,0,
TGFBR2,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,5,3,0,1,1,,,,,0,
TFPI2,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,5,3,2,0,0,,,,,0,
TBXA2R,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
SYN2,None Found,None Found,None Found,None Found,7,1,1,0,5,,,,,0,
SYN1,None Found,Proliferation of cells,5.450999565,None Found,9,4,1,2,2,,,,,0,
STMN1,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",2.476243733,None Found,2,0,1,0,1,,,,,0,
STIM1,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,4,2,1,0,1,,,,,0,
SPRY1,None Found,Proliferation of cells,-2.790660858,None Found,6,4,1,1,0,,,,,0,
SOX18,None Found,"Transcription regulation, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
SOD1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,2,2,0,0,0,,,,,0,
SLC9A3,None Found,None Found,6.699056527,None Found,5,3,1,0,1,,,,,0,
SLC4A2,None Found,Apoptosis,None Found,None Found,14,9,4,0,1,,,,,0,
RBL2,Tumorsupressor,Cell Signaling,None Found,None Found,2,1,1,0,0,,,,,0,
RAG2,None Found,Cell Signaling,None Found,None Found,5,4,0,0,1,,,,,0,
PTP4A1,Oncogene,Proliferation of cells,None Found,None Found,2,0,0,0,2,,,,,0,
PTGES,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
PSEN2,None Found,Cell Signaling,None Found,None Found,5,4,0,0,1,,,,,0,
POR,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,4,0,2,0,2,,,,,0,
PDGFC,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,2,1,1,0,0,,,,,0,
PCSK2,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,9,4,2,1,2,,,,,0,
NAB2,TF,Proliferation of cells,None Found,Repression,7,2,2,0,3,,,,,1,
MYB,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,6,5,0,1,0,,,,,1,
MMP14,Cigene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,4,3,1,0,0,,,,,0,
LTB,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
LMTK2,None Found,None Found,None Found,None Found,15,9,5,1,0,,,,,0,
LHB,None Found,Cell Signaling,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
LDLR,None Found,Apoptosis,None Found,None Found,3,2,1,0,0,,,,,0,
LAT,None Found,"Cell Signaling, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,0,
KLK3,None Found,"Apoptosis, Proliferation of cells",-6.768591929,None Found,5,2,1,0,2,,,,,0,
IMPDH2,None Found,Proliferation of cells,None Found,None Found,3,1,2,0,0,,,,,0,
IL3,None Found,"Apoptosis, Cell Signaling",None Found,None Found,1,1,0,0,0,,,,,0,
IL2RB,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,4,2,0,2,0,,,,,0,
IL2,Proto-oncogene,Cell Signaling,None Found,None Found,2,1,0,0,1,,,,,0,
IFNG,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,3,2,1,0,0,,,,,0,
HYAL1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
HSD11B2,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
HPSE,None Found,"Apoptosis, Proliferation of cells",3.167506204,None Found,4,3,0,1,0,,,,,0,
HIF1A,"Cigene, Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,8,4,2,1,1,,,,,2,
GGPS1,None Found,Drug metabolism,None Found,None Found,5,2,1,0,2,,,,,0,
GDF15,Cigene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,0,0,1,0,,,,,0,
FLT1,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,6,5,1,0,0,,,,,0,
FGF2,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",0.1446659799,None Found,3,1,0,1,1,,,,,0,
FCER2,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,4,1,1,0,2,,,,,0,
FASLG,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,3,2,0,0,1,,,,,0,
FAP,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",3.369356365,None Found,9,6,0,1,2,,,,,0,
F3,None Found,"Apoptosis, Proliferation of cells",-2.533068788,None Found,2,0,1,0,1,,,,,0,
EAPP,TF,None Found,None Found,None Found,4,2,1,1,0,,,,,0,
DMRT1,None Found,"Transcription regulation, Apoptosis",None Found,None Found,1,0,0,1,0,,,,,0,
CYP2B6,None Found,Proliferation of cells,None Found,None Found,4,3,0,1,0,,,,,0,
CHGA,None Found,"Cell Signaling, Proliferation of cells",8.658506625,None Found,3,0,3,0,0,,,,,0,
CDKN1A,"Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,0,0,1,0,,,,,0,
CD28,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,2,2,0,0,0,,,,,0,
CCND2,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,6,1,1,0,4,,,,,0,
CACNA1H,None Found,Cell Signaling,None Found,None Found,10,4,4,2,0,,,,,0,
ATF3,"Cigene, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,4,3,1,0,0,,,,,0,
ALOX5,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,0,0,1,0,,,,,0,
AKR1B1,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,None Found,1,0,0,1,0,,,,,0,
ACHE,None Found,"Apoptosis, Proliferation of cells",-2.947842682,None Found,3,2,0,0,1,,,,,0,
ACE,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,10,7,1,1,1,,,,,0,
ABCB1,Cigene,"Apoptosis, Proliferation of cells",-3.564622798,None Found,15,7,8,0,0,,,,,0,
ZBTB7A,Oncogene,"Transcription regulation, Apoptosis, Proliferation of cells",None Found,Repression,3,0,3,0,0,,,,,1,
TWIST2,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,Activation,1,0,1,0,0,,,,,1,
TWIST1,"Cigene, Oncogene","Apoptosis, Proliferation of cells",None Found,Activation,2,1,0,1,0,,,,,2,
TBP,TF,None Found,None Found,Activation,3,3,0,0,0,,,,,1,
SRF,TF,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,5,1,1,0,3,,,,,2,
SMARCA4,Tumorsupressor,"Transcription regulation, Apoptosis, Proliferation of cells",None Found,Repression,15,8,3,2,2,,,,,1,
RBMX,Tumorsupressor,None Found,None Found,Repression,8,3,2,0,3,,,,,2,
RB1,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,Repression,20,5,3,12,0,,,,,2,
NF1,Tumorsupressor,Cell Signaling,None Found,Activation,36,13,7,13,3,,,,,1,
NCOA6,TF,"Transcription regulation, Apoptosis",None Found,Activation,20,15,1,4,0,,,,,1,
MITF,Oncogene,"Apoptosis, Proliferation of cells",None Found,Activation,7,2,0,0,5,,,,,1,
HSF2,TF,Transcription regulation,None Found,Unknown,2,0,0,1,1,,,,,1,
HOPX,Tumorsupressor,"Transcription regulation, Proliferation of cells",None Found,Repression,None Found,None Found,None Found,None Found,None Found,,,,,1,
HMGN1,TF,Proliferation of cells,None Found,Unknown,1,1,0,0,0,,,,,1,
GTF2I,TF,"Cell Signaling, Proliferation of cells",None Found,Activation,5,4,0,0,1,,,,,1,
ELK4,TF,"Cell Signaling, Proliferation of cells",None Found,Activation,None Found,None Found,None Found,None Found,None Found,,,,,1,
ARNT,TF,Cell Signaling,None Found,Repression,7,4,1,1,1,,,,,2,
AHR,TF,"Transcription regulation, Apoptosis, Proliferation of cells",None Found,Unknown,3,3,0,0,0,,,,,1,
STAR,None Found,Apoptosis,None Found,None Found,2,2,0,0,0,,,,,0,
SRR,None Found,Drug metabolism,None Found,None Found,1,1,0,0,0,,,,,0,
SPRR3,None Found,Proliferation of cells,-8.668595197,None Found,3,0,0,0,3,,,,,0,
SPI1,"Tumorsupressor, Oncogene","Transcriptional misregulation, Apoptosis, Proliferation of cells",None Found,None Found,3,3,0,0,0,,,,,0,
SOX7,Tumorsupressor,"Transcription regulation, Proliferation of cells",-0.756745042,None Found,3,1,2,0,0,,,,,0,
SLC10A2,None Found,None Found,None Found,None Found,3,2,1,0,0,,,,,0,
PDHA1,None Found,"Apoptosis, Cell Signaling",None Found,None Found,5,2,2,0,1,,,,,0,
PCK2,None Found,"Cell Signaling, Proliferation of cells",None Found,None Found,9,4,3,0,2,,,,,0,
OXTR,None Found,"Cell Signaling, Proliferation of cells",-6.207909869,None Found,1,0,0,0,1,,,,,0,
NTS,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,0,1,0,0,,,,,0,
NQO1,Cigene,"Apoptosis, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
NPY,None Found,"Cell Signaling, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,0,
NPPA,None Found,Cell Signaling,None Found,None Found,1,1,0,0,0,,,,,0,
NOS2,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",4.345697573,None Found,14,11,3,0,0,,,,,0,
NFKB1,"Cigene, Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,7,4,2,0,1,,,,,4,
NEFL,None Found,Apoptosis,None Found,None Found,3,1,1,0,1,,,,,0,
MFI2,None Found,None Found,None Found,None Found,12,7,5,0,0,,,,,0,
LRIG2,None Found,Cell Signaling,None Found,None Found,6,5,1,0,0,,,,,0,
IL1A,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
HSPH1,None Found,Apoptosis,None Found,None Found,6,4,0,0,2,,,,,0,
GSTP1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,2,1,1,0,0,,,,,0,
FMO4,None Found,Drug metabolism,None Found,None Found,7,6,1,0,0,,,,,0,
FIGF,None Found,Proliferation of cells,None Found,None Found,6,4,0,0,2,,,,,0,
FGFBP1,None Found,"Cell Signaling, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
FAS,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,0,
EZR,Cigene,"Apoptosis, Proliferation of cells",-0.5852089833,None Found,6,2,1,1,2,,,,,0,
ERCC4,None Found,None Found,None Found,None Found,9,4,1,2,2,,,,,0,
DDIT3,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,2,0,0,1,1,,,,,0,
CYP1A2,None Found,Drug metabolism,None Found,None Found,4,2,1,0,1,,,,,0,
CSTA,None Found,Apoptosis,None Found,None Found,1,0,1,0,0,,,,,0,
CLU,"Cigene, Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,5,3,0,1,1,,,,,0,
CD40LG,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,2,1,0,0,1,,,,,0,
CCK,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,0,
CASP9,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,3,1,0,0,2,,,,,0,
BATF3,None Found,Transcription regulation,None Found,None Found,2,2,0,0,0,,,,,0,
ACTA1,None Found,None Found,None Found,None Found,5,2,2,0,1,,,,,0,
RUNX3,"Tumorsupressor, Oncogene","Transcription regulation, Apoptosis, Proliferation of cells",None Found,Activation,1,0,1,0,0,,,,,2,
CTBP1,"Tumorsupressor, Cigene",Cell Signaling,None Found,Repression,7,1,1,0,5,,,,,1,
NFIL3,TF,"Transcription regulation, Apoptosis, Proliferation of cells",None Found,Unknown,2,2,0,0,0,,,,,1,
KLF9,TF,"Transcription regulation, Apoptosis, Proliferation of cells",None Found,Unknown,3,0,0,0,3,,,,,1,
HOXA5,TF,"Transcription regulation, Apoptosis, Proliferation of cells",-2.87805321,Activation,5,3,1,0,1,,,,,1,
YWHAQ,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,2,1,0,0,1,,,,,0,
RLN2,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,4,3,1,0,0,,,,,0,
RLN1,None Found,Cell Signaling,None Found,None Found,1,1,0,0,0,,,,,0,
PTGS2,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,10,3,5,2,0,,,,,0,
PTGER2,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,5,2,2,1,0,,,,,0,
PRL,None Found,Cell Signaling,None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
PLD1,"Cigene, Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,12,7,2,0,3,,,,,0,
KLK4,None Found,"Cell Signaling, Proliferation of cells",6.920792888,None Found,3,1,0,0,2,,,,,0,
IRS2,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",-0.9311499934,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
IL10,Cigene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
IGFBP1,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,0,1,0,0,,,,,0,
FOXP3,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,Unknown,7,2,3,1,1,,,,,1,
E2F1,"Tumorsupressor, Oncogene","Apoptosis, Proliferation of cells",4.23572194,Repression,4,4,0,0,0,,,,,2,
CYP19A1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,3,0,2,0,1,,,,,0,
BCL2L1,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,5,2,1,0,2,,,,,0,
BCL2,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,0,
ATP1B1,None Found,Cell Signaling,None Found,None Found,7,1,2,1,3,,,,,0,
ABCG2,"Cigene, Tumorsupressor, Oncogene","Apoptosis, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,0,
CCNA2,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",3.73577511,None Found,6,5,0,0,1,,,,,1,
BIRC5,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",4.843343632,None Found,1,0,0,0,1,,,,,26,
MMP3,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,4,4,0,0,0,,,,,1,
STAT6,TF,Cell Signaling,None Found,Activation,12,5,6,1,0,,,,,3,
MMP7,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,3,0,0,0,3,,,,,1,
MMP1,Cigene,"Apoptosis, Cell Signaling, Proliferation of cells",-1.160650572,None Found,1,1,0,0,0,,,,,1,
CXCL8,Cigene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,2,1,0,0,1,,,,,1,
CTSD,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,1,0,0,0,,,,,1,
MMP9,Cigene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,6,2,3,0,1,,,,,32,
HLTF,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,None Found,10,6,2,1,1,,,,,1,
NKX3-1,Tumorsupressor,Proliferation of cells,None Found,Repression,2,2,0,0,0,,,,,3,
TCF7L2,"Cigene, Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,8,5,0,0,3,,,,,2,
GDNF,None Found,Cell Signaling,None Found,None Found,1,0,1,0,0,,,,,1,
TCF4,Tumorsupressor,"Transcription regulation, Apoptosis, Proliferation of cells",None Found,Unknown,10,6,4,0,0,,,,,2,
ID3,TF,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,2,0,0,0,2,,,,,1,
ID4,"Cigene, Tumorsupressor, Oncogene","Cell Signaling, Proliferation of cells",None Found,Unknown,None Found,None Found,None Found,None Found,None Found,,,,,6,
NGF,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,6,2,3,0,1,,,,,1,
NTF3,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
NTRk2,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,14,4,6,2,2,,,,,1,
NR0B2,Tumorsupressor,Apoptosis,None Found,Repression,2,1,0,0,1,,,,,2,
PELP1,Oncogene,None Found,None Found,None Found,6,5,1,0,0,,,,,1,
STAT1,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,5,2,2,0,1,,,,,3,
TERT,Cigene,"Apoptosis, Proliferation of cells",None Found,None Found,4,2,1,1,0,,,,,1,
BCAR1,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,6,4,0,1,1,,,,,1,
MYC,"Cigene, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,3,3,0,0,0,,,,,1,
TFF1,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
GREB1,None Found,None Found,None Found,None Found,11,3,5,1,2,,,,,1,
BRCA1,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,18,10,2,6,0,,,,,5,
TFAP2C,TF,"Transcription regulation, Apoptosis, Proliferation of cells",None Found,Unknown,4,3,0,0,1,,,,,2,
PTEN,Tumorsupressor,Cell Signaling,None Found,None Found,34,18,0,14,2,,,,,2,
DLC1,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,None Found,15,11,1,0,3,,,,,2,
TGFA,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,3,1,0,0,2,,,,,1,
CTNNB1,"Cigene, Oncogene",Cell Signaling,None Found,Unknown,5,2,3,0,0,,,,,3,
KRT5,None Found,None Found,None Found,None Found,4,2,2,0,0,,,,,5,
PIAS3,TF,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,3,1,0,0,2,,,,,3,
NCOR1,TF,Cell Signaling,None Found,Repression,44,22,2,19,1,,,,,2,
ERBB2,"Cigene, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,28,25,2,0,1,,,,,31,
AR,"Cigene, Oncogene","Apoptosis, Proliferation of cells",None Found,Repression,8,3,3,2,0,,,,,3,
NCOA3,"Cigene, Oncogene",Cell Signaling,None Found,Unknown,14,9,2,1,2,,,,,3,
PGR,Tumorsupressor,"Apoptosis, Proliferation of cells",None Found,Repression,6,5,1,0,0,,,,,34,
ELF3,TF,"Transcription regulation, Proliferation of cells",None Found,Unknown,2,1,0,0,1,,,,,2,
CDH1,"Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,55,15,2,38,0,,,,,3,
KRT19,None Found,Proliferation of cells,None Found,None Found,5,3,1,1,0,,,,,6,
CLDN7,None Found,"Apoptosis, Proliferation of cells",0.4289850751,None Found,None Found,None Found,None Found,None Found,None Found,,,,,5,
CREM,TF,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,5,2,1,0,2,,,,,1,
FOXA1,Oncogene,"Transcription regulation, Proliferation of cells",None Found,None Found,22,22,0,0,0,,,,,3,
GATA3,Cigene,"Transcription regulation, Apoptosis, Proliferation of cells",None Found,Activation,18,12,1,4,1,,,,,5,
YY1,Oncogene,Transcription regulation,None Found,Repression,1,1,0,0,0,,,,,4,
DUSP1,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",-2.450636542,None Found,3,1,1,0,1,,,,,1,
ETS1,"Cigene, Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,11,2,5,0,4,,,,,3,
STAT5A,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,12,7,2,2,1,,,,,2,
CREB1,Oncogene,Cell Signaling,None Found,Unknown,3,1,1,0,1,,,,,2,
IL6,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",-3.692904801,None Found,4,2,0,0,2,,,,,2,
STAT5B,TF,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,7,4,1,1,1,,,,,2,
ESR1,TF,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,9,3,3,1,2,,,,,89,
SP1,TF,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,5,3,1,0,1,,,,,10,
RELA,Cigene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,1,1,0,0,0,,,,,6,
ELK1,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,8,4,4,0,0,,,,,2,
ETS2,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,7,5,1,1,0,,,,,3,
ESR2,"Cigene, Tumorsupressor, Oncogene",Cell Signaling,None Found,Unknown,6,4,0,0,2,,,,,2,
CCND1,"Cigene, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,0,0,0,1,,,,,2,
TNF,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,None Found,None Found,None Found,None Found,None Found,,,,,2,
JUND,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,None Found,None Found,None Found,None Found,None Found,,,,,5,
EP300,TF,Cell Signaling,None Found,Unknown,17,9,3,3,2,,,,,6,
CDK5R1,None Found,"Apoptosis, Proliferation of cells",None Found,None Found,1,0,1,0,0,,,,,2,
FOS,"Cigene, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",-3.261178455,Unknown,3,1,1,0,1,,,,,86,
JUNB,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,1,0,1,0,0,,,,,9,
HDAC1,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,10,3,4,2,1,,,,,6,
TP53,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,264,198,4,59,3,,,,,5,
MTA1,TF,"Transcription regulation, Proliferation of cells",None Found,Repression,None Found,None Found,None Found,None Found,None Found,,,,,3,
JUN,"Cigene, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,1,0,0,0,1,,,,,33,
SNAI2,TF,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,1,0,0,0,1,,,,,2,
PPARG,"Cigene, Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",-3.620634432,Unknown,5,5,0,0,0,,,,,4,
IRF1,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Unknown,2,1,0,0,1,,,,,2,
HDAC7,TF,Proliferation of cells,None Found,Repression,2,0,1,0,1,,,,,2,
EGR1,Tumorsupressor,"Apoptosis, Proliferation of cells",-3.444520788,None Found,3,1,2,0,0,,,,,106,
ARNTL2,TF,"Transcription regulation, Proliferation of cells",None Found,Activation,1,1,0,0,0,,,,,1,
VEGFA,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,4,0,0,0,4,,,,,3,
FN1,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",4.232064555,None Found,22,10,6,1,5,,,,,1,
PDGFB,Oncogene,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,3,1,0,0,2,,,,,1,
IGF2,Oncogene,"Apoptosis, Proliferation of cells",None Found,None Found,1,0,0,0,1,,,,,1,
SMAD3,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,2,2,0,0,0,,,,,4,
PLAU,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,2,0,1,0,1,,,,,1,
PLAUR,Cigene,"Apoptosis, Proliferation of cells",3.045628499,None Found,2,2,0,0,0,,,,,1,
SMAD7,TF,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Repression,2,1,0,0,1,,,,,1,
SMAD4,Tumorsupressor,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,8,3,0,3,2,,,,,2,
SERPINE1,None Found,"Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,12,3,4,2,3,,,,,24,
EGFR,"Cigene, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,17,9,6,0,2,,,,,2,
STAT3,"Cigene, Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,Activation,8,7,1,0,0,,,,,5,
MUC1,"Tumorsupressor, Oncogene","Apoptosis, Cell Signaling, Proliferation of cells",None Found,None Found,5,2,2,0,1,,,,,10,
AURKC,None Found,None Found,None Found,None Found,2,1,0,1,0,,,,,1,
CENPU,None Found,None Found,-0.4008250847,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
CENPA,None Found,"Apoptosis, Proliferation of cells",4.801925031,None Found,None Found,None Found,None Found,None Found,None Found,,,,,1,
CENPN,None Found,lymphoid cancer and tumors,2.05977179,None Found,3,1,0,0,2,,,,,1,
CENPH,None Found,adenocarcinoma,None Found,None Found,1,0,0,0,1,,,,,1,
CDC20,Cigene,"Apoptosis, Proliferation of cells",4.306449008,None Found,2,1,0,0,1,,,,,1,
CDCA8,None Found,Proliferation of cells,3.080439881,None Found,1,1,0,0,0,,,,,1,
CCNB2,Oncogene,Proliferation of cells,4.490171085,None Found,1,0,0,0,1,,,,,1,
CENPK,None Found,adenocarcinoma,5.032380744,None Found,3,2,1,0,0,,,,,1,
AURKB,None Found,"Apoptosis, Proliferation of cells",4.843712957,None Found,1,1,0,0,0,,,,,1,
ZWINT,None Found,None Found,3.054521338,None Found,5,3,0,0,2,,,,,1,
KIF2C,None Found,Proliferation of cells,4.211968779,None Found,4,3,1,0,0,,,,,1,
BUB1,None Found,"Apoptosis, Proliferation of cells",4.711965315,None Found,6,3,2,1,0,,,,,1,
CDK1,Oncogene,"Apoptosis, Proliferation of cells",4.336214233,None Found,5,3,1,0,1,,,,,1,
CENPF,None Found,"Apoptosis, Proliferation of cells",4.303285815,None Found,22,14,3,2,3,,,,,1,
CCNB1,"Cigene, Oncogene","Apoptosis, Proliferation of cells",3.052283446,None Found,2,1,0,1,0,,,,,1,
BUB1B,None Found,Proliferation of cells,5.062801568,None Found,3,1,0,1,1,,,,,1,
NDC80,None Found,Apoptosis,5.311566209,None Found,3,3,0,0,0,,,,,1,
