,Genes (Node 1),1-hop directly regulating (degree centrality),1-hop directly regulating genes,2-hop directly regulating,2-hop directly regulating.1,Regulating Mutually Exclusively (ones array),ME,category,ME oncogene,ME TS,1-hop Causal,2-hop Causal,2-hop Cascade
34,PTMA,1,ESR1,72,72,89,0,oncogene,0,0,,,
35,PMAIP1,1,ESR1,72,72,89,0,Tumorsupressor gene,0,0,,,
36,OXT,1,ESR1,72,72,89,0,oncogene,0,0,,,
37,NRF1,1,ESR1,72,72,89,0,tumorsupressor,0,0,,,
38,NR5A2,1,ESR1,72,72,89,0,oncogene,0,0,,,
39,MMP13,1,ESR1,72,72,89,0,cigene,0,0,,,
40,MDM2,1,ESR1,72,72,89,0,oncogene,0,0,,,
41,KDR,1,ESR1,72,72,89,0,cigene,0,0,,,
42,HTRA2,1,ESR1,72,72,89,0,tumorsupressor,0,0,,,
43,HSPB1,1,ESR1,72,72,89,0,oncogene,0,0,,,
44,FOXP1,1,ESR1,72,72,89,0,"oncogene, tumorsupressor",0,0,,,
45,F12,1,ESR1,72,72,89,0,both,0,0,,,
46,ESRRA,1,ESR1,72,72,89,0,Tumorsupressor gene,0,0,,,
47,DCT,1,ESR1,72,72,89,0,Tumorsupressor gene,0,0,,,
48,CYP2C19,1,ESR1,72,72,89,0,Tumorsupressor gene,0,0,,,
49,CYP1B1,1,ESR1,72,72,89,0,Tumorsupressor gene,0,0,,,
50,CYP1A1,1,ESR1,72,72,89,0,oncogene,0,0,,,
51,CXCL12,1,ESR1,72,72,89,0,tumorsupressor,0,0,,,
52,CRHBP,1,ESR1,72,72,89,0,oncogene,0,0,,,
53,CRH,1,ESR1,72,72,89,0,both,0,0,,,
54,CHAT,1,ESR1,72,72,89,0,both,0,0,,,
55,CDKN1B,1,ESR1,72,72,89,0,"oncogene, tumorsupressor",0,0,,,
56,CDK4,1,ESR1,72,72,89,0,oncogene,0,0,,,
57,CD24,1,ESR1,72,72,89,0,oncogene,0,0,,,
58,BTG2,1,ESR1,72,72,89,0,tumorsupressor,0,0,,,
59,BLM,1,ESR1,72,72,89,0,tumorsupressor,0,0,,,
60,AVP,1,ESR1,72,72,89,0,oncogene,0,0,,,
61,AMH,1,ESR1,72,72,89,0,tumorsupressor,0,0,,,
62,YBX1,1,ERBB2,79,79,31,0,oncogene,0,0,,,
63,XRCC6,1,ERBB2,79,79,31,0,tumorsupressor gene,0,0,,,
64,XRCC5,1,ERBB2,79,79,31,0,tumorsupressor,0,0,,,
65,WWP1,1,ERBB2,79,79,31,0,oncogene,0,0,,,
66,VDR,1,ERBB2,79,79,31,0,tumorsupressor,0,0,,,
67,TFAP2B,1,ERBB2,79,79,31,0,oncogene,0,0,,,
68,TFAP2A,3,"MMP9,KRT5,ERBB2",214,"81,54,79","32,5,31",0,tumorsupressor,0,0,,,
69,SP4,2,"BIRC5,ERBB2",153,"74,79","26,31",0,TF,0,0,,,
