Node 1,Node 2
DLC1,DLC1
DLC1,TLN1
DLC1,AKT1
DLC1,CDC42
DLC1,CDH1
DLC1,CDK6
DLC1,PLCD1
DLC1,RHOB
DLC1,RHOC
DLC1,RAC2
DLC1,TNS1
TGFA,ESR1
CTNNB1,BIRC5
CTNNB1,ESR1
KRT5,TFAP2A
KRT5,SP1
KRT5,BRCA1
KRT5,KRT79
KRT5,KRT4
KRT5,KRT78
KRT5,KRT6B
KRT5,KRT77
KRT5,KRT72
KRT5,KRT6A
KRT5,KRT82
KRT5,KRT3
KRT5,KRT2
KRT5,KRT6C
KRT5,KRT17
KRT5,KRT80
KRT5,KRT74
KRT5,KRT81
KRT5,KRT28
KRT5,KRT25
KRT5,KRT76
KRT5,KRT35
KRT5,KRT71
KRT5,KRT15
KRT5,KRT1
KRT5,KRT5
KRT5,KRT14
KRT5,KRT86
KRT5,KRT84
KRT5,KRT32
KRT5,KRT27
KRT5,KRT38
KRT5,KRT33B
KRT5,KRT16
KRT5,KRT75
KRT5,KRT8
KRT5,KRT7
KRT5,KRT37
KRT5,KRT39
KRT5,KRT40
KRT5,KRT36
KRT5,KRT13
KRT5,KRT26
KRT5,KRT31
KRT5,KRT23
KRT5,KRT9
KRT5,KRT10
KRT5,KRT24
KRT5,KRT34
KRT5,KRT12
KRT5,KRT18
KRT5,KRT19
KRT5,KRT20
KRT5,KRT33A
PIAS3,ESR1
PIAS3,MUC1
NCOR1,ESR1
ERBB2,YY1
ERBB2,YBX1
ERBB2,XRCC6
ERBB2,XRCC5
ERBB2,WWP1
ERBB2,VDR
ERBB2,TFAP2C
ERBB2,TFAP2B
ERBB2,TFAP2A
ERBB2,SP4
ERBB2,SP3
ERBB2,SP1
ERBB2,PURA
ERBB2,PGR
ERBB2,PAX2
ERBB2,NCOA3
ERBB2,MYB
ERBB2,JUND
ERBB2,GATA4
ERBB2,GABPA
ERBB2,FOXP3
ERBB2,ETV4
ERBB2,EP300
ERBB2,ELK1
ERBB2,ELF1
ERBB2,ECD
ERBB2,CREB1
ERBB2,ATF7
ERBB2,ATF1
ERBB2,AR
ERBB2,PLXNB1
ERBB2,SEMA4D
ERBB2,GRB7
ERBB2,ERRFI1
ERBB2,TFF3
ERBB2,AREG
ERBB2,BTC
ERBB2,EREG
ERBB2,ADAM17
ERBB2,NRG1
ERBB2,NRG2
ERBB2,NRG3
ERBB2,PTK6
ERBB2,MEMO1
ERBB2,PTPN12
ERBB2,IL6
ERBB2,TGFA
ERBB2,CD44
ERBB2,MAPK8
ERBB2,HBEGF
ERBB2,PIK3CA
ERBB2,SHC1
ERBB2,PIK3R1
ERBB2,ERBB3
ERBB2,PTPN11
ERBB2,SOS1
ERBB2,FYN
ERBB2,RHOA
ERBB2,JAK2
ERBB2,PLCG1
ERBB2,RHOC
ERBB2,PLCG2
ERBB2,HRAS
ERBB2,KRAS
ERBB2,NRAS
ERBB2,CTNNB1
ERBB2,VEGFA
ERBB2,PIK3R2
ERBB2,HSP90AA1
ERBB2,ERBB2IP
ERBB2,PTK2
ERBB2,STUB1
ERBB2,ERBB2
ERBB2,EGFR
ERBB2,EGF
ERBB2,SRC
ERBB2,GAB1
ERBB2,GRB2
ERBB2,PTPN18
AR,ERBB2
AR,MUC1
AR,ESR1
AR,EGR1
NCOA3,ERBB2
PGR,ESR1
PGR,ERBB2
PGR,FOS
PGR,SP1
PGR,RELA
PGR,NFIL3
PGR,KLF9
PGR,JUN
PGR,HOXA5
PGR,PIAS3
PGR,NCOR1
PGR,SUMO1
PGR,NCOR2
PGR,PRKACB
PGR,PRKACA
PGR,PIK3CA
PGR,MED1
PGR,NCOA1
PGR,HSP90AA1
PGR,STIP1
PGR,HSP90AB1
PGR,AR
PGR,PTGES3
PGR,NR3C1
PGR,PGR
PGR,NR3C2
PGR,HSPA8
PGR,HSPA2
PGR,HSPA1A
PGR,HSPA1L
PGR,HSPA1B
PGR,ACTR1A
PGR,MAPK3
PGR,MAPK1
PGR,DYNLL2
PGR,FOXA1
PGR,EP300
PGR,DYNLL1
PGR,TLE3
PGR,CAPZA1
PGR,NRIP1
PGR,DCTN1
PGR,FKBP5
PGR,ACTR10
PGR,GATA3
PGR,DYNC1LI2
PGR,DYNC1LI1
PGR,DYNC1I2
PGR,DCTN5
PGR,DYNC1H1
PGR,DYNC1I1
PGR,CAPZA3
PGR,DCTN6
PGR,DCTN3
PGR,NCOA3
PGR,SRC
PGR,UBE2I
PGR,FKBP4
ELF3,MMP9
ELF3,CLDN7
CDH1,ESR1
KRT19,ESR1
KRT19,SP1
KRT19,KLF4
KRT19,MAPK11
KRT19,MAPK14
KRT19,EPCAM
KRT19,KRT79
KRT19,KRT4
KRT19,KRT78
KRT19,KRT6B
KRT19,KRT73
KRT19,KRT77
KRT19,KRT72
KRT19,KRT85
KRT19,KRT6A
KRT19,KRT82
KRT19,KRT3
KRT19,KRT2
KRT19,KRT6C
KRT19,KRT17
KRT19,KRT80
KRT19,KRT74
KRT19,KRT81
KRT19,KRT28
KRT19,KRT76
KRT19,KRT71
KRT19,KRT15
KRT19,KRT1
KRT19,KRT5
KRT19,KRT14
KRT19,KRT86
KRT19,KRT84
KRT19,KRT32
KRT19,KRT38
KRT19,KRT16
KRT19,KRT75
KRT19,KRT8
KRT19,KRT7
KRT19,KRT37
KRT19,KRT40
KRT19,KRT83
KRT19,KRT36
KRT19,KRT13
KRT19,KRT26
KRT19,KRT23
KRT19,KRT9
KRT19,KRT10
KRT19,KRT24
KRT19,KRT34
KRT19,KRT12
KRT19,KRT18
KRT19,KRT19
KRT19,KRT20
KRT19,KRT33A
CLDN7,RUNX3
CLDN7,HDAC1
CLDN7,ELF3
CLDN7,CTBP1
CLDN7,ING1
CLDN7,RPL23
CLDN7,M1AP
CLDN7,PI4K2B
CLDN7,PKP3
CLDN7,PRSS8
CLDN7,SPINT1
CLDN7,ST14
CLDN7,TACSTD2
CLDN7,CD81
CLDN7,SCARB1
CLDN7,CCDC102A
CLDN7,CDH1
CLDN7,EPCAM
CLDN7,KRT19
CLDN7,KRT18
CLDN7,RAB25
CLDN7,KRT8
CLDN7,SNAI1
CLDN7,CLDN12
CLDN7,CLDN23
CLDN7,CLDN14
CLDN7,CLDN16
CLDN7,CLDN5
CLDN7,CLDN6
CLDN7,CLDN2
CLDN7,CLDN19
CLDN7,CLDN3
CLDN7,CLDN9
CLDN7,CLDN10
CLDN7,CLDN4
CLDN7,CLDN18
CLDN7,CLDN8
CLDN7,CLDN15
CLDN7,CLDN1
CLDN7,CLDN17
CLDN7,CLDN22
CLDN7,CLDN7
CLDN7,CLDN20
CLDN7,OCLN
CLDN7,ESAM
CLDN7,CLDN25
CLDN7,TJP1
CLDN7,CLDN24
CLDN7,F11R
CLDN7,TJP3
CLDN7,TJP2
CLDN7,WNK4
CLDN7,MARVELD2
CLDN7,CLDN11
CREM,FOS
FOXA1,FOS
GATA3,ESR1
GATA3,DLC1
GATA3,MUC1
YY1,ERBB2
YY1,SERPINE1
DUSP1,PGR
ETS1,MMP9
ETS1,EGR1
STAT5A,ESR1
CREB1,ERBB2
CREB1,FOS
IL6,EGR1
STAT5B,ESR1
ESR1,ESR1
ESR1,KRT19
ESR1,SERPINE1
ESR1,FOS
ESR1,PGR
ESR1,ID4
ESR1,XBP1
ESR1,TWIST1
ESR1,TP53
ESR1,TFAP2C
ESR1,STAT5B
ESR1,STAT5A
ESR1,SP1
ESR1,RUNX2
ESR1,PIAS3
ESR1,NR2E3
ESR1,NKX3-1
ESR1,NCOR1
ESR1,MTA1
ESR1,MECP2
ESR1,LEF1
ESR1,KDM4B
ESR1,HDAC9
ESR1,HDAC7
ESR1,HDAC1
ESR1,GATA3
ESR1,BRCA1
ESR1,BARX2
ESR1,BARD1
ESR1,ARNT
ESR1,NCOA7
ESR1,NCOA2
ESR1,PHB2
ESR1,CCNT1
ESR1,KDM1A
ESR1,CARM1
ESR1,NR0B2
ESR1,PELP1
ESR1,ZNF217
ESR1,PPARGC1A
ESR1,JUN
ESR1,MAPK3
ESR1,SMAD3
ESR1,HSP90AA1
ESR1,STAT1
ESR1,SRC
ESR1,IGF1
ESR1,TERT
ESR1,NCOR2
ESR1,HSP90AB1
ESR1,IGF1R
ESR1,NRIP1
ESR1,AKT1
ESR1,CCND1
ESR1,GAPDH
ESR1,SMAD4
ESR1,NOS3
ESR1,PIK3CA
ESR1,STK11
ESR1,NCOA3
ESR1,MED1
ESR1,NCOA1
ESR1,BCAR1
ESR1,STUB1
ESR1,MAPK1
ESR1,MYC
ESR1,EP300
ESR1,CREBBP
ESR1,FOXA1
ESR1,TFF1
ESR1,GREB1
SP1,BIRC5
SP1,MMP9
SP1,KRT5
SP1,ESR1
SP1,ERBB2
SP1,KRT19
SP1,SERPINE1
SP1,EGR1
SP1,FOS
SP1,PGR
RELA,BIRC5
RELA,MMP9
RELA,SERPINE1
RELA,EGR1
RELA,PGR
ELK1,ERBB2
ELK1,FOS
ETS2,MMP9
ETS2,EGR1
ESR2,SERPINE1
ESR2,FOS
CCND1,ESR1
CCND1,EGR1
CCND1,FOS
CCND1,PGR
TNF,EGR1
JUND,ERBB2
EP300,BIRC5
EP300,MMP9
EP300,ERBB2
EP300,EGR1
CDK5R1,EGR1
FOS,MMP9
FOS,FOS
FOS,PGR
FOS,ESR1
FOS,ZBTB7A
FOS,TWIST2
FOS,TWIST1
FOS,TBP
FOS,STAT6
FOS,STAT3
FOS,SRF
FOS,SP1
FOS,SMARCA4
FOS,RBMX
FOS,RB1
FOS,NKX3-1
FOS,NF1
FOS,NCOA6
FOS,MITF
FOS,JUN
FOS,HSF2
FOS,HOPX
FOS,HMGN1
FOS,HDAC1
FOS,GTF2I
FOS,ESR2
FOS,ELK4
FOS,ELK1
FOS,CREM
FOS,CREB1
FOS,BRCA1
FOS,ARNT
FOS,AHR
FOS,TNFRSF11A
FOS,NFATC3
FOS,NFATC2
FOS,FOXA1
FOS,HIST1H2BA
FOS,H2AFZ
FOS,GATA3
FOS,MAPK10
FOS,MAPK9
FOS,YY1
FOS,DUSP1
FOS,MAPK3
FOS,ETS1
FOS,STAT5A
FOS,SMAD3
FOS,TP53
FOS,IL6
FOS,ATF2
FOS,STAT5B
FOS,EGR1
FOS,NR3C1
FOS,RELA
FOS,MAPK8
FOS,TGFB1
FOS,ETS2
FOS,TNFSF11
FOS,MAPK14
FOS,CCND1
FOS,TNF
FOS,JUND
FOS,CCL2
FOS,HMOX1
FOS,EP300
FOS,PPARG
FOS,NOTCH1
FOS,NFATC1
FOS,FOSB
FOS,GATA2
FOS,CEBPA
FOS,JUNB
FOS,MAPK1
JUNB,ESR1
HDAC1,BIRC5
HDAC1,MMP9
HDAC1,ESR1
HDAC1,EGR1
HDAC1,FOS
HDAC1,CLDN7
TP53,BIRC5
TP53,ESR1
TP53,EGR1
TP53,FOS
MTA1,MMP9
MTA1,ESR1
JUN,MMP9
JUN,FOS
JUN,PGR
JUN,ESR1
SNAI2,MMP9
PPARG,MMP9
PPARG,SERPINE1
PPARG,EGR1
IRF1,MMP9
HDAC7,ESR1
EGR1,TP53
EGR1,STAT6
EGR1,STAT1
EGR1,SP1
EGR1,RELA
EGR1,RBMX
EGR1,NKX2-3
EGR1,NFKB1
EGR1,NAB2
EGR1,MAML1
EGR1,KLF5
EGR1,HDAC1
EGR1,FOXO1
EGR1,ETS2
EGR1,ETS1
EGR1,BRCA1
EGR1,ATF5
EGR1,NFATC2
EGR1,NFATC3
EGR1,IRF8
EGR1,IRF4
EGR1,IRF2
EGR1,STAT2
EGR1,ISG15
EGR1,IRF7
EGR1,OASL
EGR1,MX1
EGR1,IFIT1
EGR1,IFIT2
EGR1,IRF5
EGR1,IFI6
EGR1,IFIT3
EGR1,CDK5R1
EGR1,FOS
EGR1,MAPK3
EGR1,IRF3
EGR1,NFATC1
EGR1,FOSB
EGR1,JUNB
EGR1,RNASEL
EGR1,MAPK1
EGR1,HDAC2
EGR1,HDAC3
EGR1,KDM1A
EGR1,RBBP7
EGR1,RBBP4
EGR1,NR2E1
EGR1,EZH2
EGR1,RCOR1
EGR1,HDAC5
EGR1,MTA1
EGR1,CHD4
EGR1,CHD3
EGR1,JUN
EGR1,ATF2
EGR1,EED
EGR1,MTA3
EGR1,EGR1
EGR1,REST
EGR1,SUZ12
EGR1,SNAI1
EGR1,SNAI2
EGR1,PPARG
EGR1,PHC3
EGR1,IRF1
EGR1,HDAC7
ARNTL2,SERPINE1
VEGFA,ESR1
VEGFA,EGR1
VEGFA,PGR
FN1,EGR1
PDGFB,EGR1
IGF2,EGR1
SMAD3,MMP9
SMAD3,SERPINE1
PLAU,EGR1
PLAU,FOS
PLAUR,EGR1
PLAUR,FOS
SMAD7,FOS
SMAD4,SERPINE1
SMAD4,FOS
SERPINE1,ESR1
SERPINE1,YY1
SERPINE1,USF1
SERPINE1,TGIF1
SERPINE1,SRF
SERPINE1,SP1
SERPINE1,SMAD4
SERPINE1,SMAD3
SERPINE1,RELA
SERPINE1,PPARG
SERPINE1,PPARA
SERPINE1,PARP1
SERPINE1,NR4A1
SERPINE1,NR0B2
SERPINE1,NFKB1
SERPINE1,KLF5
SERPINE1,KLF10
SERPINE1,HSF1
SERPINE1,HIF1A
SERPINE1,ESR2
SERPINE1,EPAS1
SERPINE1,E2F1
SERPINE1,ARNTL2
SERPINE1,CLOCK
SERPINE1,ARNTL
SERPINE1,VLDLR
SERPINE1,ITGAV
SERPINE1,ITGB3
SERPINE1,TGFB1
SERPINE1,THBS1
SERPINE1,EGF
SERPINE1,SERPINE1
SERPINE1,VEGFA
SERPINE1,FN1
SERPINE1,PLG
SERPINE1,HGF
SERPINE1,ALB
SERPINE1,IGF1
SERPINE1,A2M
SERPINE1,SPARC
SERPINE1,VWF
SERPINE1,TGFB2
SERPINE1,PF4
SERPINE1,VEGFC
SERPINE1,TGFB3
SERPINE1,PDGFB
SERPINE1,IGF2
SERPINE1,PPBP
SERPINE1,KNG1
SERPINE1,AHSG
SERPINE1,CFD
SERPINE1,SERPINF2
SERPINE1,SRGN
SERPINE1,PROS1
SERPINE1,F13A1
SERPINE1,ORM1
SERPINE1,ACTN4
SERPINE1,F8
SERPINE1,FGB
SERPINE1,FGA
SERPINE1,FGG
SERPINE1,HRG
SERPINE1,F5
SERPINE1,PLAU
SERPINE1,PLAUR
SERPINE1,PLAT
SERPINE1,SMAD2
SERPINE1,LRP1
SERPINE1,VTN
SERPINE1,SMAD7
SERPINE1,TIMP1
EGFR,ESR1
EGFR,EGR1
EGFR,PGR
STAT3,BIRC5
STAT3,MMP9
STAT3,MUC1
STAT3,FOS
MUC1,ZEB1
MUC1,STAT3
MUC1,PIAS4
MUC1,PIAS3
MUC1,PIAS2
MUC1,PIAS1
MUC1,HIF1A
MUC1,GATA3
MUC1,AR
MUC1,ST3GAL4
MUC1,EGFR
MUC1,CLEC10A
MUC1,ST3GAL2
MUC1,ST6GALNAC4
MUC1,ST3GAL1
