Genes (Node 1),1-hop directly regulating (degree centrality),1-hop directly regulating genes,2-hop directly regulating,2-hop directly regulating,Regulating Mutually Exclusively (ones array),ME,category
HIF1A,3,"MUC1,SERPINE1,EGR1",196,"59,71,66","10,24,106",0,"oncogene, tumorsupressor, cigene"
GGPS1,1,EGR1,66,66,106,0,
GDF15,1,EGR1,66,66,106,0,cigene
FLT1,2,"ESR1,EGR1",138,"72,66","89,106",0,
FGF2,1,EGR1,66,66,106,0,
FCER2,1,EGR1,66,66,106,0,
FASLG,1,EGR1,66,66,106,0,
FAP,1,EGR1,66,66,106,0,
F3,1,EGR1,66,66,106,0,
EAPP,1,EGR1,66,66,106,0,TF
DMRT1,1,EGR1,66,66,106,0,
CYP2B6,1,EGR1,66,66,106,0,
CHGA,1,EGR1,66,66,106,0,
CDKN1A,2,"ESR1,EGR1",138,"72,66","89,106",0,"oncogene, tumorsupressor"
CD28,1,EGR1,66,66,106,0,
CCND2,1,EGR1,66,66,106,0,
CACNA1H,1,EGR1,66,66,106,0,
ATF3,1,EGR1,66,66,106,0,"oncogene, cigene"
ALOX5,1,EGR1,66,66,106,0,
AKR1B1,1,EGR1,66,66,106,0,tumorsupressor
ACHE,1,EGR1,66,66,106,0,
ACE,1,EGR1,66,66,106,0,
ABCB1,1,EGR1,66,66,106,0,cigene
ZBTB7A,1,FOS,74,74,86,0,oncogene
TWIST2,1,FOS,74,74,86,0,tumorsupressor
TWIST1,2,"ESR1,FOS",146,"72,74","89,86",0,"oncogene, cigene"
TBP,1,FOS,74,74,86,0,TF
SRF,2,"SERPINE1,FOS",145,"71,74","24,86",0,TF
SMARCA4,1,FOS,74,74,86,0,tumorsupressor
RBMX,4,"EGR1,FOS,JUNB,JUND",143,"66,74,1,2","106,86,9,5",0,tumorsupressor
RB1,2,"BIRC5,FOS",148,"74,74","26,86",0,tumorsupressor
NF1,2,"FOS,PLAT",74,74,"86,9",0,tumorsupressor
NCOA6,1,FOS,74,74,86,0,TF
MITF,1,FOS,74,74,86,0,oncogene
HSF2,1,FOS,74,74,86,0,TF
HOPX,1,FOS,74,74,86,0,tumorsupressor
HMGN1,1,FOS,74,74,86,0,TF
GTF2I,1,FOS,74,74,86,0,TF
ELK4,1,FOS,74,74,86,0,TF
ARNT,3,"ESR1,FOS,JUN",152,"72,74,6","89,86,33",0,TF
AHR,1,FOS,74,74,86,0,TF
STAR,1,FOS,74,74,86,0,
SRR,1,FOS,74,74,86,0,
SPRR3,1,FOS,74,74,86,0,
SPI1,1,FOS,74,74,86,0,"oncogene, tumorsupressor"
SOX7,1,FOS,74,74,86,0,tumorsupressor
SLC10A2,1,FOS,74,74,86,0,
PDHA1,1,FOS,74,74,86,0,
PCK2,1,FOS,74,74,86,0,
OXTR,1,FOS,74,74,86,0,
NTS,1,FOS,74,74,86,0,
NQO1,1,FOS,74,74,86,0,cigene
NPY,1,FOS,74,74,86,0,
NPPA,1,FOS,74,74,86,0,
NOS2,1,FOS,74,74,86,0,
NFKB1,6,"BIRC5,MMP9,SERPINE1,EGR1,FOS,JUNB",367,"74,81,71,66,74,1","26,32,24,106,86,9",0,"oncogene, tumorsupressor, cigene"
NEFL,1,FOS,74,74,86,0,
MFI2,1,FOS,74,74,86,0,
LRIG2,1,FOS,74,74,86,0,
IL1A,1,FOS,74,74,86,0,
HSPH1,1,FOS,74,74,86,0,
GSTP1,1,FOS,74,74,86,0,
FMO4,1,FOS,74,74,86,0,
FIGF,1,FOS,74,74,86,0,
FGFBP1,1,FOS,74,74,86,0,
FAS,2,"EGR1,FOS",140,"66,74","106,86",0,
EZR,1,FOS,74,74,86,0,cigene
ERCC4,1,FOS,74,74,86,0,
DDIT3,1,FOS,74,74,86,0,oncogene
CYP1A2,1,FOS,74,74,86,0,
CSTA,1,FOS,74,74,86,0,
CLU,1,FOS,74,74,86,0,"oncogene, tumorsupressor, cigene"
CD40LG,1,FOS,74,74,86,0,
CCK,1,FOS,74,74,86,0,
CASP9,1,FOS,74,74,86,0,
BATF3,1,FOS,74,74,86,0,
ACTA1,1,FOS,74,74,86,0,
RUNX3,2,"MMP9,CLDN7",135,"81,54","32,5",0,"oncogene, tumorsupressor"
CTBP1,1,CLDN7,54,54,5,0,"tumorsupressor, cigene"
NFIL3,1,PGR,58,58,34,0,TF
KLF9,1,PGR,58,58,34,0,TF
HOXA5,1,PGR,58,58,34,0,TF
YWHAQ,2,"ESR1,PGR",130,"72,58","89,34",0,oncogene
RLN2,1,PGR,58,58,34,0,
RLN1,1,PGR,58,58,34,0,
PTGS2,3,"EGR1,FOS,PGR",198,"66,74,58","106,86,34",0,
PTGER2,1,PGR,58,58,34,0,
PRL,1,PGR,58,58,34,0,
PLD1,1,PGR,58,58,34,0,"oncogene, tumorsupressor, cigene"
KLK4,1,PGR,58,58,34,0,
IRS2,1,PGR,58,58,34,0,oncogene
IL10,1,PGR,58,58,34,0,cigene
IGFBP1,1,PGR,58,58,34,0,
FOXP3,2,"ERBB2,PGR",137,"79,58","31,34",0,tumorsupressor
E2F1,4,"BIRC5,SERPINE1,ESR1,PGR",275,"74,71,72,58","26,24,89,34",0,"oncogene, tumorsupressor"
CYP19A1,2,"ESR1,PGR",130,"72,58","89,34",0,
BCL2L1,2,"FOS,PGR",132,"74,58","86,34",0,oncogene
