Genes (Node 1),1-hop directly regulating (degree centrality),1-hop directly regulating genes,2-hop directly regulating,2-hop directly regulating,Regulating Mutually Exclusively (ones array),ME,category
SP1,13,"BIRC5,MMP9,KRT5,ESR1,ERBB2,KRT19,SERPINE1,EGR1,FOS,PGR,PLAT,ID4,KRT14",735,"74,81,54,72,79,54,71,66,74,58,52","26,32,5,89,31,6,24,106,86,34,9,6,4",0,TF
RELA,6,"BIRC5,MMP9,SERPINE1,EGR1,PGR,JUNB",351,"74,81,71,66,58,1","26,32,24,106,34,9",0,cigene
ELK1,2,"ERBB2,FOS",153,"79,74","31,86",0,oncogene
ETS2,2,"MMP9,EGR1",147,"81,66","32,106",0,oncogene
ESR2,3,"SERPINE1,FOS,JUN",151,"71,74,6","24,86,33",0,"oncogene, tumorsupressor, cigene"
CCND1,4,"ESR1,EGR1,FOS,PGR",270,"72,66,74,58","89,106,86,34",0,"oncogene, cigene"
TNF,1,EGR1,66,66,106,0,
JUND,2,"ERBB2,PLAT",79,79,"31,9",0,oncogene
EP300,4,"BIRC5,MMP9,ERBB2,EGR1",300,"74,81,79,66","26,32,31,106",0,TF
CDK5R1,1,EGR1,66,66,106,0,
FOS,74,"MMP9,FOS,PGR,ESR1,ZBTB7A,TWIST2,TWIST1,TBP,STAT6,STAT3,SRF,SP1,SMARCA4,RBMX,RB1,NKX3-1,NF1,NCOA6,MITF,JUN,HSF2,HOPX,HMGN1,HDAC1,GTF2I,ESR2,ELK4,ELK1,CREM,CREB1,BRCA1,ARNT,AHR,TNFRSF11A,NFATC3,NFATC2,FOXA1,HIST1H2BA,H2AFZ,GATA3,MAPK10,MAPK9,YY1,DUSP1,MAPK3,ETS1,STAT5A,SMAD3,TP53,IL6,ATF2,STAT5B,EGR1,NR3C1,RELA,MAPK8,TGFB1,ETS2,TNFSF11,MAPK14,CCND1,TNF,JUND,CCL2,HMOX1,EP300,PPARG,NOTCH1,NFATC1,FOSB,GATA2,CEBPA,JUNB,MAPK1",472,"81,74,58,72,1,1,2,1,2,5,2,13,1,4,2,2,2,1,1,6,1,1,1,6,1,3,1,2,2,4,5,3,1,1,3,2,1,2,1,3,4,1,2,1,66,6,2,4,1,2,4,3,1","32,86,34,89,1,1,2,1,3,5,2,10,1,2,2,3,1,1,1,33,1,1,1,6,1,2,1,2,1,2,5,2,1,1,2,2,3,1,1,5,1,1,4,1,4,3,2,4,5,2,2,2,106,2,6,2,2,3,1,2,2,2,5,1,1,6,4,2,2,2,1,1,9,4",25,"oncogene, cigene"
JUNB,1,ESR1,72,72,89,0,oncogene
HDAC1,6,"BIRC5,MMP9,ESR1,EGR1,FOS,CLDN7",421,"74,81,72,66,74,54","26,32,89,106,86,5",0,oncogene
TP53,4,"BIRC5,ESR1,EGR1,FOS",286,"74,72,66,74","26,89,106,86",0,tumorsupressor
MTA1,2,"MMP9,ESR1",153,"81,72","32,89",0,TF
JUN,6,"MMP9,FOS,PGR,ESR1,PLAT,JUN",291,"81,74,58,72,6","32,86,34,89,9,33",0,"oncogene, cigene"
SNAI2,1,MMP9,81,81,32,0,TF
PPARG,3,"MMP9,SERPINE1,EGR1",218,"81,71,66","32,24,106",0,"oncogene, tumorsupressor, cigene"
IRF1,1,MMP9,81,81,32,0,tumorsupressor
HDAC7,1,ESR1,72,72,89,0,TF
EGR1,66,"TP53,STAT6,STAT1,SP1,RELA,RBMX,NKX2-3,NFKB1,NAB2,MAML1,KLF5,HDAC1,FOXO1,ETS2,ETS1,BRCA1,ATF5,NFATC2,NFATC3,IRF8,IRF4,IRF2,STAT2,ISG15,IRF7,OASL,MX1,IFIT1,IFIT2,IRF5,IFI6,IFIT3,CDK5R1,FOS,MAPK3,IRF3,NFATC1,FOSB,JUNB,RNASEL,MAPK1,HDAC2,HDAC3,KDM1A,RBBP7,RBBP4,NR2E1,EZH2,RCOR1,HDAC5,MTA1,CHD4,CHD3,JUN,ATF2,EED,MTA3,EGR1,REST,SUZ12,SNAI1,SNAI2,PPARG,PHC3,IRF1,HDAC7",220,"4,2,2,13,6,4,1,6,1,1,4,6,1,2,2,5,1,1,74,1,1,2,6,2,66,1,3,1,1","5,3,3,10,6,2,1,4,1,1,4,6,1,3,3,5,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,86,4,1,2,2,9,1,4,1,1,2,1,1,1,2,1,1,3,1,1,33,2,1,1,106,1,1,2,2,4,1,2,2",34,tumorsupressor
ARNTL2,1,SERPINE1,71,71,24,0,TF
VEGFA,3,"ESR1,EGR1,PGR",196,"72,66,58","89,106,34",0,tumorsupressor
FN1,1,EGR1,66,66,106,0,
PDGFB,1,EGR1,66,66,106,0,oncogene
IGF2,1,EGR1,66,66,106,0,oncogene
SMAD3,3,"MMP9,SERPINE1,JUN",158,"81,71,6","32,24,33",0,tumorsupressor
PLAU,2,"EGR1,FOS",140,"66,74","106,86",0,
PLAUR,2,"EGR1,FOS",140,"66,74","106,86",0,cigene
SMAD7,2,"FOS,KRT14",74,74,"86,4",0,TF
SMAD4,3,"SERPINE1,FOS,JUN",151,"71,74,6","24,86,33",0,tumorsupressor
SERPINE1,71,"ESR1,YY1,USF1,TGIF1,SRF,SP1,SMAD4,SMAD3,RELA,PPARG,PPARA,PARP1,NR4A1,NR0B2,NFKB1,KLF5,KLF10,HSF1,HIF1A,ESR2,EPAS1,E2F1,ARNTL2,CLOCK,ARNTL,VLDLR,ITGAV,ITGB3,TGFB1,THBS1,EGF,SERPINE1,VEGFA,FN1,PLG,HGF,ALB,IGF1,A2M,SPARC,VWF,TGFB2,PF4,VEGFC,TGFB3,PDGFB,IGF2,PPBP,KNG1,AHSG,CFD,SERPINF2,SRGN,PROS1,F13A1,ORM1,ACTN4,F8,FGB,FGA,FGG,HRG,F5,PLAU,PLAUR,PLAT,SMAD2,LRP1,VTN,SMAD7,TIMP1",221,"72,2,2,1,2,13,3,3,6,3,2,2,1,1,6,4,1,2,3,3,1,4,1,71,3,1,1,1,2,2,2","89,4,1,1,2,10,2,4,6,4,2,1,1,2,4,4,1,1,2,2,1,2,1,1,1,1,1,1,2,2,2,24,3,1,2,1,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,2",45,
EGFR,3,"ESR1,EGR1,PGR",196,"72,66,58","89,106,34",0,"oncogene, cigene"
STAT3,5,"BIRC5,MMP9,MUC1,FOS,JUNB",289,"74,81,59,74,1","26,32,10,86,9",0,"oncogene, tumorsupressor, cigene"
MUC1,59,"ZEB1,STAT3,PIAS4,PIAS3,PIAS2,PIAS1,HIF1A,GATA3,AR,ST3GAL4,EGFR,CLEC10A,ST3GAL2,ST6GALNAC4,ST3GAL1,ST3GAL3,ST6GALNAC3,GALNT13,GALNT18,ST6GALNAC2,MUC1,MUC16,MUC5B,MUC5AC,MUC4,MUC6,MUC7,MUC20,MUC13,MUC12,MUC17,MUC3A,MUC21,MUC15,MUCL1,B3GNT3,GCNT1,B3GNT6,C1GALT1,C1GALT1C1,GALNT6,GALNT4,GALNT15,GALNT7,GALNT3,GCNT3,GALNT5,GALNT8,GALNT10,GALNT12,GALNT2,GALNT14,GALNT16,GALNT1,GALNT9,GALNTL6,GALNTL5,GALNT11,ST6GAL1",85,"2,5,1,2,1,1,3,3,5,3,59","1,5,1,3,1,1,2,5,3,1,2,1,1,1,1,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1",52,"oncogene, tumorsupressor"
ATF2,2,"PLAT,JUN",6,6,"9,33",0,Activation
WT1,2,"JUNB,JUN",7,"1,6","9,33",0,"TF, oncogene"
ABL1,1,JUN,6,6,33,0,"Activation, oncogene"
GLI1,1,JUN,6,6,33,0,"TF, cigene, oncogene"
GLI2,1,JUN,6,6,33,0,"TF, oncogene"
HDAC3,1,JUN,6,6,33,0,Repression
HDAC4,1,JUN,6,6,33,0,Activation
MEF2A,1,JUN,6,6,33,0,Activation
MEF2C,1,JUN,6,6,33,0,"Activation, oncogene"
MEF2D,1,JUN,6,6,33,0,Activation
NFIC,1,JUN,6,6,33,0,TF
NFRKB,1,JUN,6,6,33,0,Activation
PITX1,1,JUN,6,6,33,0,Repression
RUNX1,1,JUN,6,6,33,0,"Activation, oncogene"
TNFAIP3,1,JUN,6,6,33,0,Repression
ZNF382,1,JUN,6,6,33,0,"Repression, tumorsupressor"
ZNF383,1,JUN,6,6,33,0,Repression
MEN1,1,JUND,2,2,5,0,Repression
ZIC1,1,JUND,2,2,5,0,Activation
