KRT5,KRT36
KRT5,KRT40
KRT5,KRT39
KRT5,KRT37
KRT5,KRT7
KRT5,KRT8
KRT5,KRT75
KRT5,KRT16
KRT5,KRT33B
KRT5,KRT38
KRT5,KRT27
KRT5,KRT32
KRT5,KRT84
KRT5,KRT86
KRT5,KRT14
KRT5,KRT5
KRT5,KRT1
KRT5,KRT15
KRT5,KRT71
KRT5,KRT35
KRT5,KRT76
KRT5,KRT25
KRT5,KRT28
KRT5,KRT81
KRT5,KRT74
KRT5,KRT80
KRT5,KRT17
KRT5,KRT6C
KRT5,KRT2
KRT5,KRT3
KRT5,KRT82
KRT5,KRT6A
KRT5,KRT72
KRT5,KRT77
KRT5,KRT6B
KRT5,KRT78
KRT5,KRT4
KRT5,KRT79
NTRk2,NGFR
NTRk2,KIDINS220
NTRk2,SHC4
NTRk2,CRKL
NTRk2,CRK
NTRk2,SHC2
NTRk2,SHC3
NTRk2,IGF1
NTRk2,CDC42
NTRk2,PIK3CA
NTRk2,RAC1
NTRk2,PIK3R1
NTRk2,SOS1
NTRk2,PLCG1
NTRk2,HRAS
NTRk2,GRB2
NTRk2,SHC1
NTRk2,NTRK2
NTRk2,NTF4
NTRk2,NTRK1
NTRk2,NTF3
NTRk2,BDNF
NTRk2,NGF
NTRk2,EHD4
NTRk2,RASA1
NTRk2,GRIN2B
NTRk2,PTPN11
NTRk2,FRS2
NTRk2,GAB1
NTRk2,SRC
NTRk2,RAP1B
NTRk2,TIAM1
NTRk2,FRS3
NTRk2,RAP1A
NTRk2,CTNNA1
NTRk2,NRAS
NTRk2,KRAS
NTRk2,CTNNB1
NTRk2,CTNND1
NTRk2,CDK5
NTRk2,CDH2
NTRk2,STAT3
NTRk2,ADCYAP1
NTRk2,SH2B1
NTRk2,DOCK3
NTRk2,DYNLT1
NTRk2,RIT1
NTRk2,RIT2
NTRk2,CDK5R1
NTRk2,ADCYAP1R1
NTRk2,GIPC1
ID4,FKBP4
ID4,ID4
ID4,TP53
ID4,BCL3
ID4,CEBPB
ID4,MMP2
ID4,CDC42
ID4,YY1
ID4,SOX4
ID4,WNT5A
ID4,PTEN
ID4,NOTCH1
ID4,EZH2
ID4,MYF6
ID4,ID2
ID4,ID3
ID4,MYRF
ID4,MYOG
ID4,MYOD1
ID4,TCF3
ID4,TCF4
ID4,HES1
ID4,NEUROG1
ID4,HES5
ID4,HEY2
ID4,NEUROG3
ID4,SOX2
ID4,SOX10
ID4,ZBTB16
ID4,OLIG1
ID4,OLIG2
ID4,BCL6B
ID4,SOHLH1
ID4,GFRA1
ID4,NANOS2
ID4,GDNF
ID4,NKX2-2
ID4,POU3F1
ID4,TCF7L2
ID4,TRIM21
ID4,BRCA1
ID4,SRI
ID4,ESM1
ID4,NKX3-1
ID4,GFAP
ID4,ABCC3
ID4,GRHL3
ID4,HLTF
ID4,GPR17
ID4,C10orf142
ID4,BLCAP
MMP9,CTSG
MMP9,ITGAM
MMP9,TNF
MMP9,A2M
MMP9,SDC1
MMP9,LTF
MMP9,CTSD
MMP9,CXCL8
MMP9,MMP8
MMP9,PPBP
MMP9,THBS1
MMP9,CAMP
MMP9,PRSS3P2
MMP9,MMP1
MMP9,LYZ
MMP9,MMP9
MMP9,TIMP1
MMP9,B2M
MMP9,HBEGF
MMP9,HP
MMP9,NID1
MMP9,PTX3
MMP9,CDH1
MMP9,EDN1
MMP9,COL18A1
MMP9,CXCL1
MMP9,ACAN
MMP9,CD44
MMP9,MMP7
MMP9,STAT6
MMP9,CST3
MMP9,MMP10
MMP9,PLG
MMP9,STAT3
MMP9,VEGFA
MMP9,MMP3
MMP9,OLFM4
MMP9,EPHB2
MMP9,LTA4H
MMP9,IDH1
MMP9,OSCAR
MMP9,CHIT1
MMP9,TIMP2
MMP9,TNFAIP6
MMP9,CTSS
MMP9,ITGB2
MMP9,SRC
MMP9,TIMP3
MMP9,SDC4
MMP9,EPHB1
MMP9,SCUBE3
BIRC5,CENPM
BIRC5,KIF23
BIRC5,RACGAP1
BIRC5,TTK
BIRC5,PBK
BIRC5,AURKA
BIRC5,KIF11
BIRC5,TPX2
BIRC5,CCNA2
BIRC5,DLGAP5
BIRC5,UBE2C
BIRC5,TOP2A
BIRC5,KIF20A
BIRC5,NUSAP1
BIRC5,XPO1
BIRC5,ERCC6L
BIRC5,INCENP
BIRC5,SPC25
BIRC5,KIF18A
BIRC5,ESPL1
BIRC5,SGOL1
BIRC5,KNTC1
BIRC5,NUF2
BIRC5,CASC5
BIRC5,PLK1
BIRC5,SKA1
BIRC5,SPC24
BIRC5,CDCA5
BIRC5,CENPE
BIRC5,MAD2L1
BIRC5,NDC80
BIRC5,BUB1B
BIRC5,CCNB1
BIRC5,CENPF
BIRC5,CDK1
BIRC5,BUB1
BIRC5,KIF2C
BIRC5,ZWINT
BIRC5,BIRC5
BIRC5,AURKB
BIRC5,CENPK
BIRC5,CCNB2
BIRC5,CDCA8
BIRC5,CDC20
BIRC5,CENPH
BIRC5,CENPN
BIRC5,CENPA
BIRC5,CENPU
BIRC5,AURKC
BIRC5,TP53
BIRC5,STAT3
ABCG2,PGR
ATP1B1,PGR
BCL2,PGR
BCL2L1,PGR
CCND1,PGR
CYP19A1,PGR
DUSP1,PGR
E2F1,PGR
EGFR,PGR
ERBB2,PGR
ESR1,PGR
FOXP3,PGR
HLTF,PGR
IGFBP1,PGR
IL10,PGR
IRS2,PGR
KLK4,PGR
MYC,PGR
PLD1,PGR
PRL,PGR
PTGER2,PGR
PTGS2,PGR
RELA,PGR
RLN1,PGR
RLN2,PGR
VEGFA,PGR
YWHAQ,PGR
PGR,ESR1
PGR,FOS
PGR,HOXA5
PGR,JUN
PGR,KLF9
PGR,NFIL3
PGR,RELA
PGR,SP1
CLDN7,CTBP1
CLDN7,ELF3
CLDN7,HDAC1
CLDN7,RUNX3
ACTA1,FOS
BATF3,FOS
BCL2L1,FOS
CASP9,FOS
CCK,FOS
CCND1,FOS
CD40LG,FOS
CLU,FOS
CREM,FOS
CSTA,FOS
CXCL8,FOS
CYP1A2,FOS
DDIT3,FOS
ERCC4,FOS
EZR,FOS
FAS,FOS
FGFBP1,FOS
FIGF,FOS
FMO4,FOS
FOS,FOS
FOXA1,FOS
GSTP1,FOS
HSPH1,FOS
IL1A,FOS
LRIG2,FOS
MFI2,FOS
MMP1,FOS
MMP3,FOS
MMP7,FOS
MMP9,FOS
MMP9,FOS
MYC,FOS
NEFL,FOS
NFKB1,FOS
NGF,FOS
NOS2,FOS
NOS2,FOS
NPPA,FOS
NPY,FOS
NQO1,FOS
NTF3,FOS
NTS,FOS
OXTR,FOS
PCK2,FOS
PDHA1,FOS
PGR,FOS
PLAU,FOS
PLAUR,FOS
PTGS2,FOS
SLC10A2,FOS
SMAD4,FOS
SMAD7,FOS
SOX7,FOS
SPI1,FOS
SPRR3,FOS
SRR,FOS
STAR,FOS
TP53,FOS
FOS,AHR
FOS,ARNT
FOS,BRCA1
FOS,CREB1
FOS,CREM
FOS,ELK1
FOS,ELK4
FOS,ESR1
FOS,ESR2
FOS,FOS
FOS,GTF2I
FOS,HDAC1
FOS,HMGN1
FOS,HOPX
FOS,HSF2
FOS,JUN
FOS,MITF
FOS,NCOA6
FOS,NF1
FOS,NKX3-1
FOS,RB1
FOS,RBMX
FOS,SMARCA4
FOS,SP1
FOS,SRF
FOS,STAT3
FOS,STAT6
FOS,TBP
FOS,TWIST1
FOS,TWIST2
FOS,ZBTB7A
ABCB1,EGR1
ACE,EGR1
ACHE,EGR1
AKR1B1,EGR1
ALOX5,EGR1
ALOX5,EGR1
AR,EGR1
ATF3,EGR1
