"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Eccentricity","EdgeCount","Indegree","IsSingleNode","name","NeighborhoodConnectivity","Outdegree","PartnerOfMultiEdgedNodePairs","selected","SelfLoops","shared name","Stress"
"0.0","0.0","0.0","0.43333333333333335","0","6","6","false","ATF2","61.0","0","0","false","0","ATF2","0"
"2.727272727272727","1.1759641847977453","0.3666666666666667","0.17142857142857143","4","25","5","false","JUN","45.095238095238095","20","4","false","0","JUN","9620685"
"0.0","0.0","0.0","0.0","0","1","1","false","CHD3","150.0","0","0","false","0","CHD3","0"
"0.0","0.0","0.0","0.0","0","1","1","false","CHD4","150.0","0","0","false","0","CHD4","0"
"2.9678321678321677","0.3179603966069983","0.33694627709707825","0.3111111111111111","4","12","5","false","MTA1","57.7","7","2","false","0","MTA1","4173603"
"4.362237762237762","0.03280338431732958","0.22924014107085605","0.0","6","3","1","false","HDAC5","58.0","2","0","false","0","HDAC5","215558"
"2.788811188811189","11.513387841122839","0.3585757271815446","0.053005464480874315","4","75","53","false","TP53","19.57377049180328","22","12","false","1","TP53","66364222"
"0.0","0.0","0.0","0.0","0","1","1","false","RCOR1","150.0","0","0","false","0","RCOR1","0"
"3.202797202797203","1.2199794457641973","0.31222707423580787","0.13398692810457516","4","19","9","false","EZH2","30.944444444444443","10","1","false","0","EZH2","7985515"
"0.0","0.0","0.0","0.0","0","1","1","false","NR2E1","150.0","0","0","false","0","NR2E1","0"
"0.0","0.0","0.0","0.0","0","1","1","false","RBBP4","150.0","0","0","false","0","RBBP4","0"
"0.0","0.0","0.0","0.0","0","1","1","false","RBBP7","150.0","0","0","false","0","RBBP7","0"
"0.0","0.0","0.0","0.0","0","2","2","false","KDM1A","138.0","0","0","false","0","KDM1A","0"
"3.9216783216783218","0.22830354714331488","0.2549928673323823","0.05","5","5","3","false","HDAC3","50.2","2","0","false","0","HDAC3","943855"
"3.1356643356643357","0.03393928057635115","0.31891168599464764","0.11904761904761904","4","7","1","false","HDAC2","48.42857142857143","6","0","false","0","HDAC2","271388"
"2.518881118881119","10.314822561217255","0.39700166574125484","0.2075098814229249","4","31","15","false","HDAC1","44.95652173913044","16","8","false","0","HDAC1","57105214"
"0.0","0.0","0.0","0.6666666666666666","0","4","4","false","MAPK1","120.5","0","0","false","0","MAPK1","0"
"0.0","0.0","0.0","0.0","0","1","1","false","RNASEL","150.0","0","0","false","0","RNASEL","0"
"3.381818181818182","0.05027380898022011","0.2956989247311828","0.6666666666666666","5","3","2","false","JUNB","133.66666666666666","1","0","false","0","JUNB","686501"
"0.0","0.0","0.0","1.0","0","2","2","false","FOSB","137.5","0","0","false","0","FOSB","0"
"3.2335664335664336","0.0","0.3092560553633218","1.0","5","3","2","false","NFATC1","107.0","1","0","false","0","NFATC1","0"
"0.0","0.0","0.0","0.16666666666666666","0","3","3","false","IRF3","67.0","0","0","false","0","IRF3","0"
"0.0","0.0","0.0","0.6666666666666666","0","4","4","false","MAPK3","120.5","0","0","false","0","MAPK3","0"
"2.4545454545454546","29.108076732712814","0.4074074074074074","0.015032258064516128","4","168","89","false","FOS","10.064","79","41","false","1","FOS","139593748"
"3.7104895104895106","0.01980367461547041","0.26950621937429325","0.0","5","3","2","false","CDK5R1","100.5","1","1","false","0","CDK5R1","67735"
"0.0","0.0","0.0","0.0","0","1","1","false","IFIT3","150.0","0","0","false","0","IFIT3","0"
"0.0","0.0","0.0","0.0","0","1","1","false","IFI6","150.0","0","0","false","0","IFI6","0"
"0.0","0.0","0.0","0.0","0","1","1","false","IRF5","150.0","0","0","false","0","IRF5","0"
"0.0","0.0","0.0","0.0","0","1","1","false","IFIT2","150.0","0","0","false","0","IFIT2","0"
"0.0","0.0","0.0","0.0","0","1","1","false","IFIT1","150.0","0","0","false","0","IFIT1","0"
"0.0","0.0","0.0","0.0","0","1","1","false","MX1","150.0","0","0","false","0","MX1","0"
"0.0","0.0","0.0","0.0","0","1","1","false","OASL","150.0","0","0","false","0","OASL","0"
"4.59020979020979","0.13871658917034","0.21785496648385133","0.0","7","3","1","false","IRF7","54.333333333333336","2","0","false","0","IRF7","425472"
"0.0","0.0","0.0","0.0","0","1","1","false","ISG15","150.0","0","0","false","0","ISG15","0"
"3.9972027972027973","0.00828675234981175","0.25017494751574526","0.4166666666666667","6","4","1","false","STAT2","47.75","3","0","false","0","STAT2","43273"
"4.572027972027972","0.005086498164523275","0.21872132150504742","0.0","6","2","1","false","IRF2","81.0","1","0","false","0","IRF2","40545"
"4.290909090909091","0.01846023566535133","0.2330508474576271","0.16666666666666666","6","3","1","false","IRF4","56.666666666666664","2","0","false","0","IRF4","55161"
"0.0","0.0","0.0","0.0","0","1","1","false","IRF8","150.0","0","0","false","0","IRF8","0"
"0.0","0.0","0.0","1.0","0","2","2","false","NFATC3","137.5","0","0","false","0","NFATC3","0"
"0.0","0.0","0.0","1.0","0","2","2","false","NFATC2","137.5","0","0","false","0","NFATC2","0"
"3.5692307692307694","0.3100904475344966","0.2801724137931034","0.17777777777777778","5","11","8","false","CEBPA","30.6","3","1","false","0","CEBPA","2460604"
"3.6615384615384614","0.007125072065319161","0.273109243697479","0.25","5","4","1","false","GATA2","53.0","3","0","false","0","GATA2","83695"
"0.0","0.0","0.0","0.0","0","2","2","false","NOTCH1","89.5","0","0","false","0","NOTCH1","0"
"2.699300699300699","5.407257733447251","0.37046632124352336","0.16052631578947368","4","27","14","false","EP300","52.35","13","7","false","0","EP300","39342422"
"0.0","0.0","0.0","0.0","0","1","1","false","HMOX1","125.0","0","0","false","0","HMOX1","0"
"0.0","0.0","0.0","0.0","0","1","1","false","CCL2","125.0","0","0","false","0","CCL2","0"
"3.581818181818182","0.20869295989254577","0.27918781725888325","0.1","5","6","2","false","JUND","49.2","4","1","false","0","JUND","2366959"
"3.709090909090909","0.01661673747432963","0.2696078431372549","0.6666666666666666","5","3","2","false","TNF","118.33333333333333","1","0","false","0","TNF","315278"
"2.981818181818182","0.02826975895530795","0.33536585365853655","0.6666666666666666","4","6","2","false","CCND1","120.5","4","2","false","0","CCND1","367466"
"0.0","0.0","0.0","0.0","0","2","2","false","MAPK14","89.5","0","0","false","0","MAPK14","0"
"0.0","0.0","0.0","0.0","0","1","1","false","TNFSF11","125.0","0","0","false","0","TNFSF11","0"
"3.297902097902098","0.10000557066669251","0.3032230703986429","0.0","5","4","2","false","ESR2","97.5","2","2","false","0","ESR2","1290641"
"3.3034965034965036","0.18363543616933586","0.3027095681625741","0.30952380952380953","5","9","3","false","ETS2","73.0","6","2","false","0","ETS2","2236910"
"0.0","0.0","0.0","0.0","0","2","2","false","MAPK8","101.5","0","0","false","0","MAPK8","0"
"3.193006993006993","0.23026047263835933","0.3131844064826982","0.2","5","7","2","false","ELK1","47.6","5","2","false","0","ELK1","2537478"
